1,,"Fish","Skyfish","Exotic","from the `Skyblyss` Set!",350.00,2500.00,21.70,79.70,0.60,2.90,60.00,75.00,85.00,90.00,95.00
2,,"Developer","Hyperfish","Exotic","from the `Developer` set!",375.00,1337.00,1.20,7.00,0.20,0.90,60.00,75.00,82.50,90.00,95.00
3,,"Frog","PogFrog","Exotic","from the `Twitch` set!",325.00,1337.00,2.70,8.60,0.20,0.80,60.00,75.00,82.50,90.00,95.00
4,1,"Frog","Pepe","Exotic","from the `Memes` set!",350.00,1337.00,2.10,13.14,0.10,0.90,60.00,75.00,82.50,90.00,95.00
5,6,"Fish","Sqid","Exotic","from the `Anmal` set!",350.00,1337.00,13.50,20.37,0.30,0.60,60.00,75.00,82.50,90.00,95.00
6,6,"Fish","Chunkiest Kong","Exotic"," from the `Alpha Testers` set!",450.00,1337.00,5.40,8.80,0.20,1.00,60.00,75.00,82.50,90.00,95.00
7,6,"Fish","Slightly-Golden 18kt Goldfish","Legendary","from the `things that don\`t belong here` set.",12.00,38.00,3.00,10.00,0.10,0.70,60.00,75.00,82.50,90.00,95.00
8,2,"Fish","Bass","Legendary",,10.00,40.00,2.50,14.00,0.10,0.80,60.00,75.00,82.50,90.00,95.00
9,2,"Fish","CHUNKIEST OF KONGS","Legendary",,22.00,300.00,5.00,30.00,0.10,0.60,60.00,75.00,82.50,90.00,95.00
10,6,"Fish","Abyss Lurker","Legendary",,2.00,45.00,2.50,12.00,0.10,0.70,60.00,75.00,82.50,90.00,95.00
11,1,"Fish","BrickFish","Legendary","from the `things that don\`t belong here` set.",2.00,30.00,2.50,10.00,0.10,0.70,60.00,75.00,82.50,90.00,95.00
12,2,"Fish","Sturgeon","Common",,1.00,153.00,1.00,20.00,0.10,0.70,60.00,75.00,82.50,90.00,95.00
13,2,"Fish","Bass","Common",,1.00,13.00,2.50,10.00,0.10,0.70,60.00,75.00,82.50,90.00,95.00
14,1,"Fish","Guppy","Common",,0.07,0.60,0.10,1.00,0.10,0.70,60.00,75.00,82.50,90.00,95.00
15,2,"Fish","Salmon","Common",,0.50,30.00,1.00,6.00,0.10,0.70,60.00,75.00,82.50,90.00,95.00
16,2,"Fish","Catfish","Common",,2.00,30.00,2.50,10.00,0.10,0.70,60.00,75.00,82.50,90.00,95.00
17,1,"Fish","Goldfish","Common",,2.00,30.00,2.50,10.00,0.10,0.70,60.00,75.00,82.50,90.00,95.00
18,3,"Fish","Betta-Fish","Common",,2.00,30.00,2.50,10.00,0.10,0.70,60.00,75.00,82.50,90.00,95.00
19,6,"Fish","Cod","Common",,2.00,30.00,2.50,10.00,0.10,0.70,60.00,75.00,82.50,90.00,95.00
20,6,"Fish","Anchovy","Common",,2.00,30.00,2.50,10.00,0.10,0.70,60.00,75.00,82.50,90.00,95.00
21,2,"Fish","Asian Carp","Common",,2.00,30.00,2.50,10.00,0.10,0.70,60.00,75.00,82.50,90.00,95.00
22,6,"Fish","Bream","Common",,2.00,30.00,2.50,10.00,0.10,0.70,60.00,75.00,82.50,90.00,95.00
23,3,"Fish","Black Bream","Common",,2.00,30.00,2.50,10.00,0.10,0.70,60.00,75.00,82.50,90.00,95.00
24,6,"Fish","Carp","Common",,2.00,30.00,2.50,10.00,0.10,0.70,60.00,75.00,82.50,90.00,95.00
25,2,"Fish","Dace","Common",,2.00,30.00,2.50,10.00,0.10,0.70,60.00,75.00,82.50,90.00,95.00
26,1,"Fish","Darter","Common",,2.00,30.00,2.50,10.00,0.10,0.70,60.00,75.00,82.50,90.00,95.00
27,3,"Fish","Dory","Common",,2.00,30.00,2.50,10.00,0.10,0.70,60.00,75.00,82.50,90.00,95.00
28,3,"Fish","Flounder","Common",,2.00,30.00,2.50,10.00,0.10,0.70,60.00,75.00,82.50,90.00,95.00
29,3,"Fish","Grouper","Common",,2.00,30.00,2.50,10.00,0.10,0.70,60.00,75.00,82.50,90.00,95.00
30,3,"Fish","Herring","Common",,2.00,30.00,2.50,10.00,0.10,0.70,60.00,75.00,82.50,90.00,95.00
31,3,"Fish","Lampfish","Common",,2.00,30.00,2.50,10.00,0.10,0.70,60.00,75.00,82.50,90.00,95.00
32,3,"Fish","Blue Bream","Common",,2.00,30.00,2.50,10.00,0.10,0.70,60.00,75.00,82.50,90.00,95.00
33,2,"Fish","Minnow","Common",,2.00,30.00,2.50,10.00,0.10,0.70,60.00,75.00,82.50,90.00,95.00
34,2,"Fish","Pacu","Common",,2.00,30.00,2.50,10.00,0.10,0.70,60.00,75.00,82.50,90.00,95.00
35,3,"Fish","Piranha","Common",,2.00,30.00,2.50,10.00,0.10,0.70,60.00,75.00,82.50,90.00,95.00
36,3,"Fish","Red Mullet","Common",,2.00,30.00,2.50,10.00,0.10,0.70,60.00,75.00,82.50,90.00,95.00
37,3,"Fish","Red Seabream","Common",,2.00,30.00,2.50,10.00,0.10,0.70,60.00,75.00,82.50,90.00,95.00
38,6,"Fish","Sea Bass","Common",,2.00,30.00,2.50,10.00,0.10,0.70,60.00,75.00,82.50,90.00,95.00
39,2,"Fish","Snakefish","Common",,2.00,30.00,2.50,10.00,0.10,0.70,60.00,75.00,82.50,90.00,95.00
40,3,"Fish","Tetra","Common",,2.00,30.00,2.50,10.00,0.10,0.70,60.00,75.00,82.50,90.00,95.00
41,3,"Fish","Trout","Common",,2.00,30.00,2.50,10.00,0.10,0.70,60.00,75.00,82.50,90.00,95.00
42,,"Fish","Larry The Blob Fish","Uncommon",,2.00,30.00,2.50,10.00,0.10,0.70,60.00,75.00,82.50,90.00,95.00
43,,"Fish","Oranda Goldfish","Uncommon",,2.00,30.00,2.50,10.00,0.10,0.70,60.00,75.00,82.50,90.00,95.00
44,"Mystical","Fish","Crystalish","Uncommon",,2.00,30.00,2.50,10.00,0.10,0.70,60.00,75.00,82.50,90.00,95.00
45,,"Fish","Car Battery","Uncommon","from the `things that don\`t belong here` set.\n||Also charges the electrical eels.||",1203.00,2400.00,10.00,12.00,0.40,0.60,60.00,75.00,82.50,90.00,95.00
46,,"Fish","Orc Fish","Uncommon",,5.00,48.00,2.50,18.00,0.10,0.70,60.00,75.00,82.50,90.00,95.00
47,,"Fish","Fried Fish","Uncommon",,2.00,30.00,2.50,10.00,0.10,0.70,60.00,75.00,82.50,90.00,95.00
48,,"Fish","Scoob Fish","Uncommon",,6.00,126.00,1.60,8.00,0.10,0.70,60.00,75.00,82.50,90.00,95.00
